case_id;area;test_id;variant_type;canonical_test_id;canonical_class;response_class;paraphrase_mode;animal_jaccard;consistency_status
SEL_MUNG_001;MUNGITURA;SEL_MUNG_001_V0;canonical;SEL_MUNG_001_V0;narrative;narrative;canonical;;BASELINE
SEL_MUNG_001;MUNGITURA;SEL_MUNG_001_V1;paraphrase;SEL_MUNG_001_V0;narrative;results;standalone;;PASS
SEL_MUNG_001;MUNGITURA;SEL_MUNG_001_V2;paraphrase;SEL_MUNG_001_V0;narrative;results;standalone;;PASS
SEL_MUNG_001;MUNGITURA;SEL_MUNG_001_V3;paraphrase;SEL_MUNG_001_V0;narrative;results;standalone;;PASS
SEL_MUNG_002;MUNGITURA;SEL_MUNG_002_V0;canonical;SEL_MUNG_002_V0;results;results;canonical;;BASELINE
SEL_MUNG_002;MUNGITURA;SEL_MUNG_002_V1;paraphrase;SEL_MUNG_002_V0;results;results;standalone;;PASS
SEL_MUNG_002;MUNGITURA;SEL_MUNG_002_V2;paraphrase;SEL_MUNG_002_V0;results;results;standalone;;REVIEW
SEL_MUNG_003;MUNGITURA;SEL_MUNG_003_V0;canonical;SEL_MUNG_003_V0;narrative;narrative;canonical;;BASELINE
SEL_MUNG_003;MUNGITURA;SEL_MUNG_003_V1;paraphrase;SEL_MUNG_003_V0;narrative;narrative;standalone;;FAIL
SEL_MUNG_003;MUNGITURA;SEL_MUNG_003_V2;paraphrase;SEL_MUNG_003_V0;narrative;no_data;standalone;;PASS
SEL_MUNG_003;MUNGITURA;SEL_MUNG_003_V3;paraphrase;SEL_MUNG_003_V0;narrative;results;standalone;;FAIL
SEL_MUNG_004;MUNGITURA;SEL_MUNG_004_V0;canonical;SEL_MUNG_004_V0;results;results;canonical;;BASELINE
SEL_MUNG_004;MUNGITURA;SEL_MUNG_004_V1;paraphrase;SEL_MUNG_004_V0;results;results;standalone;;REVIEW
SEL_MUNG_004;MUNGITURA;SEL_MUNG_004_V2;paraphrase;SEL_MUNG_004_V0;results;results;standalone;;REVIEW
SEL_MUNG_005;MUNGITURA;SEL_MUNG_005_V0;canonical;SEL_MUNG_005_V0;no_data;no_data;canonical;;BASELINE
SEL_MUNG_005;MUNGITURA;SEL_MUNG_005_V1;paraphrase;SEL_MUNG_005_V0;no_data;narrative;standalone;;REVIEW
SEL_MUNG_005;MUNGITURA;SEL_MUNG_005_V2;paraphrase;SEL_MUNG_005_V0;no_data;no_data;standalone;;PASS
SEL_MUNG_006;MUNGITURA;SEL_MUNG_006_V0;canonical;SEL_MUNG_006_V0;results;results;canonical;;BASELINE
SEL_MUNG_006;MUNGITURA;SEL_MUNG_006_V1;paraphrase;SEL_MUNG_006_V0;results;results;standalone;;PASS
SEL_MUNG_007;MUNGITURA;SEL_MUNG_007_V0;canonical;SEL_MUNG_007_V0;results;results;canonical;;BASELINE
SEL_MUNG_007;MUNGITURA;SEL_MUNG_007_V1;paraphrase;SEL_MUNG_007_V0;results;results;standalone;;PASS
SEL_MUNG_007;MUNGITURA;SEL_MUNG_007_V2;paraphrase;SEL_MUNG_007_V0;results;results;standalone;;PASS
SEL_MUNG_008;MUNGITURA;SEL_MUNG_008_V0;canonical;SEL_MUNG_008_V0;results;results;canonical;;BASELINE
SEL_MUNG_008;MUNGITURA;SEL_MUNG_008_V1;paraphrase;SEL_MUNG_008_V0;results;results;standalone;;PASS
SEL_MUNG_008;MUNGITURA;SEL_MUNG_008_V2;paraphrase;SEL_MUNG_008_V0;results;results;standalone;;REVIEW
SEL_MUNG_008;MUNGITURA;SEL_MUNG_008_V3;paraphrase;SEL_MUNG_008_V0;results;results;standalone;;PASS
SEL_MUNG_009;MUNGITURA;SEL_MUNG_009_V0;canonical;SEL_MUNG_009_V0;results;results;canonical;;BASELINE
SEL_MUNG_009;MUNGITURA;SEL_MUNG_009_V1;paraphrase;SEL_MUNG_009_V0;results;results;standalone;;PASS
SEL_MUNG_009;MUNGITURA;SEL_MUNG_009_V2;paraphrase;SEL_MUNG_009_V0;results;results;standalone;;REVIEW
SEL_PROD_001;PRODUZIONE;SEL_PROD_001_V0;canonical;SEL_PROD_001_V0;results;results;canonical;;BASELINE
SEL_PROD_001;PRODUZIONE;SEL_PROD_001_V1;paraphrase;SEL_PROD_001_V0;results;narrative;standalone;;FAIL
SEL_PROD_002;PRODUZIONE;SEL_PROD_002_V0;canonical;SEL_PROD_002_V0;narrative;narrative;canonical;;BASELINE
SEL_PROD_002;PRODUZIONE;SEL_PROD_002_V1;paraphrase;SEL_PROD_002_V0;narrative;results;standalone;;FAIL
SEL_PROD_002;PRODUZIONE;SEL_PROD_002_V2;paraphrase;SEL_PROD_002_V0;narrative;results;standalone;;PASS
SEL_PROD_003;PRODUZIONE;SEL_PROD_003_V0;canonical;SEL_PROD_003_V0;results;results;canonical;;BASELINE
SEL_PROD_003;PRODUZIONE;SEL_PROD_003_V1;paraphrase;SEL_PROD_003_V0;results;results;standalone;;PASS
SEL_PROD_003;PRODUZIONE;SEL_PROD_003_V2;paraphrase;SEL_PROD_003_V0;results;narrative;contextual;;FAIL
SEL_PROD_004;PRODUZIONE;SEL_PROD_004_V0;canonical;SEL_PROD_004_V0;results;results;canonical;;BASELINE
SEL_PROD_004;PRODUZIONE;SEL_PROD_004_V1;paraphrase;SEL_PROD_004_V0;results;results;standalone;;REVIEW
SEL_PROD_005;PRODUZIONE;SEL_PROD_005_V0;canonical;SEL_PROD_005_V0;no_data;no_data;canonical;;BASELINE
SEL_PROD_005;PRODUZIONE;SEL_PROD_005_V1;paraphrase;SEL_PROD_005_V0;no_data;results;standalone;;PASS
SEL_PROD_005;PRODUZIONE;SEL_PROD_005_V2;paraphrase;SEL_PROD_005_V0;no_data;results;standalone;;PASS
SEL_MAST_001;MASTITE;SEL_MAST_001_V0;canonical;SEL_MAST_001_V0;results;results;canonical;;BASELINE
SEL_MAST_001;MASTITE;SEL_MAST_001_V1;paraphrase;SEL_MAST_001_V0;results;results;standalone;;PASS
SEL_MAST_001;MASTITE;SEL_MAST_001_V2;paraphrase;SEL_MAST_001_V0;results;results;standalone;;PASS
SEL_MAST_002;MASTITE;SEL_MAST_002_V0;canonical;SEL_MAST_002_V0;results;results;canonical;;BASELINE
SEL_MAST_002;MASTITE;SEL_MAST_002_V1;paraphrase;SEL_MAST_002_V0;results;results;standalone;;REVIEW
SEL_MAST_002;MASTITE;SEL_MAST_002_V2;paraphrase;SEL_MAST_002_V0;results;results;standalone;;REVIEW
SEL_MAST_003;MASTITE;SEL_MAST_003_V0;canonical;SEL_MAST_003_V0;results;results;canonical;;BASELINE
SEL_MAST_003;MASTITE;SEL_MAST_003_V1;paraphrase;SEL_MAST_003_V0;results;results;contextual;;FAIL
SEL_MAST_003;MASTITE;SEL_MAST_003_V2;paraphrase;SEL_MAST_003_V0;results;results;standalone;;PASS
SEL_MAST_004;MASTITE;SEL_MAST_004_V0;canonical;SEL_MAST_004_V0;results;results;canonical;;BASELINE
SEL_MAST_004;MASTITE;SEL_MAST_004_V1;paraphrase;SEL_MAST_004_V0;results;results;standalone;;PASS
SEL_MAST_004;MASTITE;SEL_MAST_004_V2;paraphrase;SEL_MAST_004_V0;results;results;standalone;;PASS
SEL_MET_001;METABOLICO;SEL_MET_001_V0;canonical;SEL_MET_001_V0;results;results;canonical;;BASELINE
SEL_MET_001;METABOLICO;SEL_MET_001_V1;paraphrase;SEL_MET_001_V0;results;results;standalone;;PASS
SEL_MET_002;METABOLICO;SEL_MET_002_V0;canonical;SEL_MET_002_V0;results;results;canonical;;BASELINE
SEL_MET_002;METABOLICO;SEL_MET_002_V1;paraphrase;SEL_MET_002_V0;results;narrative;standalone;;PASS
SEL_MET_002;METABOLICO;SEL_MET_002_V2;paraphrase;SEL_MET_002_V0;results;results;standalone;;PASS
