run_id;run_mode;sequence_no;test_id;case_id;area;suite_type;scenario;scenario_turn;block;variant_index;variant_type;variant_source;previously_executed;prior_validated;prior_result;source_case_id;source_mapping;question;evaluation_profile;expected_scope;expected_animal;input_data;expected_behavior;expected_fields;fallback;guardrail;support_current;probe_type;response;latency_ms;message_count;response_truncated;message_ids;whatsapp_metadata;send_system_timestamp;system_timestamp;collector_success;collector_note
AUTO_20260831_130203;smoke;1;SEL_MUNG_001_V0;SEL_MUNG_001;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;0;canonical;manual_selected;False;False;;MUNG_007;adapted;quante vacche/bufale hanno prodotto poco?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori:";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"392 bufale hanno una produzione inferiore di almeno 20 % rispetto al valore atteso nella giornata più recente.

Su 443 bufale per le quali sono disponibili dati, ciò equivale a circa 88 % della mandria.



Le cause più frequenti di produzione ridotta sono mastite, stress termico, deficit energetico (chetosi), problemi podali, frequenza di mungitura non adeguata o nutrizione carente.



Azioni consigliate:

Verificare la conduttività e, se disponibile, le SCC per individuare eventuali infezioni mammarie; prelevare campioni di latte e trattare secondo le indicazioni veterinarie.
Controllare il THI (indice di calore) e garantire ombra, ventilazione e acqua fresca.
Assicurare una razione bilanciata, con energia, proteine, vitamine A/E e selenio adeguati al DIM e alla parità.
Mantenere la frequenza di mungitura consigliata per la fase di lattazione (3‑4 volte/giorno in early lactation, 2‑3 volte in late lactation).
Esaminare i piedi per segni di zoppia e migliorare la pulizia e la morbidezza della cuccia.


Se vuoi approfondire le singole bufale più a rischio, dimmi pure.";67419;1;False;2425B8FAB3EEC7D696;[13:03, 31/08/2026] Marica Marches: ;2026-08-31T13:02:22;2026-08-31T13:03:38;True;OK
AUTO_20260831_130203;smoke;2;SEL_MUNG_002_V0;SEL_MUNG_002;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_002;0;canonical;manual_selected;False;False;;MUNG_003;adapted;quali vacche/bufale hanno saltato la mungitura?;missed_or_reduced_milkings;herd;;ID, DIM, media milk sessions gruppo, numero sessioni di mungitura;Gli animali con un numero minore di sessioni registrate sono i seguenti:  . (se robot: controlla il loro stato di salute o il funzionamento del robot);Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"145 bufale non hanno registrato mungitura per 30‑08‑2026


Esempio di alcune bufale mancanti (primo estratto):

#2396
#2406
#2439
#2494
#2531
#2981
#3030
#3069
#3106
#3121
#3122
#3124
#3134
#3142
#3153
#5128
#5133
#5223
#5264
#5274 … (la lista completa comprende 145 capi)


Controlla se queste bufale sono in asciuttezza, in fase di transizione (post‑/pre‑parto) o se vi sono problemi di sensori/registrazione.



Se vuoi approfondire singole bufale (stato di salute, ultimi segnali di triage o eventuali gap), fammi sapere.";38611;1;False;C70E3A1C57E22A6FA6;[13:04, 31/08/2026] Marica Marches: ;2026-08-31T13:03:43;2026-08-31T13:04:29;True;OK
AUTO_20260831_130203;smoke;3;SEL_MUNG_003_V0;SEL_MUNG_003;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;0;canonical;manual_selected;False;False;;MUNG_001;exact;quali animali sono in ritardo?;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"#6946 (L3, DIM241):0,2kg—6,1kg(-96,7%)
#5659 (L3, DIM207):0,5kg—7,4kg(-93,2%)
#5762 (L3, DIM226):0,5kg—6,6kg(-92,5%)
#726 (L2, DIM222):0,6kg—7,2kg(-91,6%)
#2474 (L7, DIM275):0,4kg—4,0kg(-90,1%)
#165 (L6, DIM228):0,6kg—5,4kg(-88,9%)
#2491 (L2, DIM279):0,7kg—5,5kg(-87,3%)
#2516 (L2, DIM17):1,8kg—12,3kg(-85,4%)
#2422 (L2, DIM274):0,9kg—5,6kg(-84,0%)
#7340 (L5, DIM242):0,8kg—5,0kg(-83,9%)
#2468 (L3, DIM55):2,6kg—15,8kg(-83,5%)
#1320 (L14, DIM86):3,0kg—12,5kg(-75,9%)
#2543 (L2, DIM144):2,5kg—10,4kg(-75,9%)
#8042 (L1, DIM214):1,8kg—7,1kg(-74,8%)
#8058 (L2, DIM60):3,9kg—14,9kg(-73,8%)
#2479 (L3, DIM214):2,0kg—7,1kg(-71,7%)
#2467 (L2, DIM240):1,9kg—6,6kg(-71,2%)
#5127 (L5, DIM423):0,5kg—1,6kg(-69,3%)
#8148 (L1, DIM90):3,6kg—11,6kg(-68,9%)
#9552 (L5, DIM228):1,7kg—5,4kg(-68,5%)


Tutte queste 20 bufale mostrano una produzione molto inferiore al previsto (residual ≤ ‑0,68), segno di ritardo produttivo. Le cause più comuni sono mastite, chetosi o deficit energetico, stress termico, problemi podali e gestione inadeguata della mungitura […]";123123;1;False;5FF339B993741EB06C;[13:06, 31/08/2026] Marica Marches: ;2026-08-31T13:04:34;2026-08-31T13:06:45;True;OK
AUTO_20260831_130203;smoke;4;SEL_MUNG_004_V0;SEL_MUNG_004;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_004;0;canonical;manual_selected;False;False;;MUNG_003;exact;quali vacche/bufale hanno meno mungiture?;low_milking_count;herd;;ID, gruppo, DIM, numero sessioni ultime 24h, media baseline mungiture;"Ho trovato {n_animali} animali con meno mungiture rispetto al loro andamento recente.
{tabella}
Verifica accesso a robot/sala, locomozione, comportamento e rifiuti robot.";Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"#6946 (L3, DIM 241): 1 mungitura — pari alla media
#5659 (L3, DIM 207): 1 mungitura — pari alla media
#5762 (L3, DIM 226): 1 mungitura — pari alla media
#726 (L2, DIM 222): 1 mungitura — pari alla media
#2474 (L7, DIM 275): 1 mungitura — pari alla media
#165 (L6, DIM 228): 1 mungitura — pari alla media
#2491 (L2, DIM 279): 1 mungitura — pari alla media
#2516 (L2, DIM 17): 1 mungitura — pari alla media
#2422 (L2, DIM 274): 1 mungitura — pari alla media
#7340 (L5, DIM 242): 1 mungitura — pari alla media
#2468 (L3, DIM 55): 1 mungitura — pari alla media
#1320 (L14, DIM 86): 1 mungitura — pari alla media
#2543 (L2, DIM 144): 1 mungitura — pari alla media
#8042 (L1, DIM 214): 1 mungitura — pari alla media
#8058 (L2, DIM 60): 1 mungitura — pari alla media
#2479 (L3, DIM 214): 1 mungitura — pari alla media
#2467 (L2, DIM 240): 1 mungitura — pari alla media
#5127 (L5, DIM 423): 1 mungitura — pari alla media
#8148 (L1, DIM 90): 1 mungitura — pari alla media
#9552 (L5, DIM 228): 1 mungitura — pari alla media […]";80815;1;False;5159F3BED82B22F6DA;[13:08, 31/08/2026] Marica Marches: ;2026-08-31T13:06:50;2026-08-31T13:08:20;True;OK
AUTO_20260831_130203;smoke;5;SEL_MUNG_005_V0;SEL_MUNG_005;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_005;0;canonical;manual_selected;False;False;;MUNG_002;exact;chi non è stata munta oggi?;not_milked_today;herd;;ID, gruppo, DIM, visite robot ultime 24h, nr sessioni mungitura valide, n mungiture baseline;Ecco gli animali che non hanno registrato una mungitura completa:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore trascorse | Mungiture oggi | Visite robot oggi;Manca il conteggio mungiture giornaliero o il timestamp dei dati robot.;"Usare 'non risulta registrata' se c'è rischio dato non aggiornato. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"Al momento non disponiamo di dati di mungitura per la data odierna 2026‑08‑31.

Il registro “animal_day” non contiene righe con milking_visits_count per il 31 agosto, né indicazioni di “0” visite.



Dai dati disponibili abbiamo 588 bufale in mandria (elenco di 200 numeri mostrato), ma senza le informazioni sulle sessioni di mungitura non è possibile stabilire quali non siano state munte oggi.



Quando verranno caricati i dati di mungitura di oggi potrò fornirti l’elenco preciso delle bufale non munte.



Se ti serve un riepilogo per un giorno precedente (es. 2026‑08‑30) o per un intervallo, fammi sapere.";58219;1;False;42219E64489A0EE596;[13:09, 31/08/2026] Marica Marches: ;2026-08-31T13:08:25;2026-08-31T13:09:30;True;OK
