run_id;run_mode;sequence_no;attempt_no;attempt_uid;test_id;case_id;area;suite_type;scenario;scenario_turn;block;variant_index;variant_type;variant_source;previously_executed;prior_validated;prior_result;source_case_id;source_mapping;question;evaluation_profile;expected_scope;expected_animal;input_data;expected_behavior;expected_fields;fallback;guardrail;support_current;probe_type;response;latency_ms;message_count;response_truncated;message_ids;whatsapp_metadata;send_system_timestamp;system_timestamp;collector_success;collector_note;collector_status;semantic_status;scope_status;animal_status;detected_scope;detected_animals;response_class;guardrail_flags;core_status;overall_status;error_flags
AUTO_20260831_140744;smoke;1;1;SEL_MUNG_001_V0_A1;SEL_MUNG_001_V0;SEL_MUNG_001;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;0;canonical;manual_selected;False;False;;MUNG_007;adapted;quante vacche/bufale hanno prodotto poco?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori:";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"392 bufale hanno prodotto poco nel periodo di rilevazione.



Se vuoi approfondisco i singoli animali più a rischio.";64712;1;False;49FB2AEABB0835D5F2;[14:09, 31/08/2026] Marica Marches: ;2026-08-31T14:08:02;2026-08-31T14:09:15;True;OK;PASS;FAIL;PASS;N/A;herd_query;392;results;;FAIL;FAIL;
AUTO_20260831_140744;smoke;2;1;SEL_MUNG_002_V0_A1;SEL_MUNG_002_V0;SEL_MUNG_002;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_002;0;canonical;manual_selected;False;False;;MUNG_003;adapted;quali vacche/bufale hanno saltato la mungitura?;missed_or_reduced_milkings;herd;;ID, DIM, media milk sessions gruppo, numero sessioni di mungitura;Gli animali con un numero minore di sessioni registrate sono i seguenti:  . (se robot: controlla il loro stato di salute o il funzionamento del robot);Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"Nel periodo più recente disponibile (24 agosto 2026 – 30 agosto 2026) non sono presenti record con milking_visits_count = 0; quindi nessuna bufala ha saltato la mungitura in questi giorni.



Se vuoi verificare un intervallo più ampio o impostare una soglia diversa (es. meno di 2 visite al giorno), fammi sapere e provvedo a estrarre i dati corrispondenti.";36160;1;False;E9C9109C78438C2C1E;[14:09, 31/08/2026] Marica Marches: ;2026-08-31T14:09:20;2026-08-31T14:10:04;True;OK;PASS;PASS;PASS;N/A;herd_query;;no_data;;PASS;PASS;
AUTO_20260831_140744;smoke;3;1;SEL_MUNG_003_V0_A1;SEL_MUNG_003_V0;SEL_MUNG_003;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;0;canonical;manual_selected;False;False;;MUNG_001;exact;quali animali sono in ritardo?;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"Mi servirebbe capire a cosa ti riferisci con “in ritardo”.

Ritardo nella mungitura (giorni senza visita o numero di mungiture inferiore al consueto).
Ritardo nella produzione (quantità di latte inferiore rispetto alla curva prevista per il DIM e la parità).


Fammi sapere quale dei due (o se intendi altro) così posso estrarre i dati delle bufale interessate.";18139;1;False;82BB90CDCEF062BBE0;[14:10, 31/08/2026] Marica Marches: ;2026-08-31T14:10:09;2026-08-31T14:10:34;True;OK;PASS;PASS;PASS;N/A;herd_query;;narrative;;PASS;PASS;
AUTO_20260831_140744;smoke;4;1;SEL_MUNG_004_V0_A1;SEL_MUNG_004_V0;SEL_MUNG_004;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_004;0;canonical;manual_selected;False;False;;MUNG_003;exact;quali vacche/bufale hanno meno mungiture?;low_milking_count;herd;;ID, gruppo, DIM, numero sessioni ultime 24h, media baseline mungiture;"Ho trovato {n_animali} animali con meno mungiture rispetto al loro andamento recente.
{tabella}
Verifica accesso a robot/sala, locomozione, comportamento e rifiuti robot.";Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"Tutte le 20 bufale della mandria hanno una media di 1,0 mungitura al giorno, valore inferiore al consueto 2‑3 sessioni.

#2505 (L3, DIM 7): 1,0 — media mandria 1,0 (Δ 0,0)
#7382 (L5, DIM 234): 1,0 — media mandria 1,0 (Δ 0,0)
#5751 (L4, DIM 9): 1,0 — media mandria 1,0 (Δ 0,0)
#8042 (L1, DIM 214): 1,0 — media mandria 1,0 (Δ 0,0)
#2473 (L2, DIM 272): 1,0 — media mandria 1,0 (Δ 0,0)
#3177 (L1, DIM 205): 1,0 — media mandria 1,0 (Δ 0,0)
#3158 (L2, DIM 6): 1,0 — media mandria 1,0 (Δ 0,0)
#9589 (L4, DIM 401): 1,0 — media mandria 1,0 (Δ 0,0)
#9585 (L4, DIM 214): 1,0 — media mandria 1,0 (Δ 0,0)
#7340 (L5, DIM 242): 1,0 — media mandria 1,0 (Δ 0,0)
#3164 (L1, DIM 266): 1,0 — media mandria 1,0 (Δ 0,0)
#3196 (L1, DIM 212): 1,0 — media mandria 1,0 (Δ 0,0)
#3131 (L1, DIM 316): 1,0 — media mandria 1,0 (Δ 0,0)
#3020 (L2, DIM 6): 1,0 — media mandria 1,0 (Δ 0,0)
#5105 (L6, DIM 242): 1,0 — media mandria 1,0 (Δ 0,0)
#2422 (L2, DIM 274): 1,0 — media mandria 1,0 (Δ 0,0)
#9684 (L4, DIM 229): 1,0 — media mandria 1,0 (Δ 0,0)
#7375 (L5, DIM 212): 1,0 — media mandria 1,0 (Δ 0,0)
#9685 (L3, DIM 287): 1,0 — media mandria 1,0 (Δ 0,0) […]";83505;1;False;8CDE6ECE37B2B31A5A;[14:12, 31/08/2026] Marica Marches: ;2026-08-31T14:10:39;2026-08-31T14:12:11;True;OK;PASS;PASS;PASS;N/A;herd_query;2422,2473,2505,3020,3131,3158,3164,3177,3196,5105,5751,7340,7375,7382,8042,9585,9589,9684,9685;results;;PASS;PASS;
AUTO_20260831_140744;smoke;5;1;SEL_MUNG_005_V0_A1;SEL_MUNG_005_V0;SEL_MUNG_005;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_005;0;canonical;manual_selected;False;False;;MUNG_002;exact;chi non è stata munta oggi?;not_milked_today;herd;;ID, gruppo, DIM, visite robot ultime 24h, nr sessioni mungitura valide, n mungiture baseline;Ecco gli animali che non hanno registrato una mungitura completa:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore trascorse | Mungiture oggi | Visite robot oggi;Manca il conteggio mungiture giornaliero o il timestamp dei dati robot.;"Usare 'non risulta registrata' se c'è rischio dato non aggiornato. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"Non ci sono record di mungitura per il 31‑08‑2026.

L’assenza di righe nella tabella indica che per oggi non sono state rilevate sessioni di mungitura (o che i sensori non hanno trasmesso dati), perciò non è possibile elencare le bufale “non munte” in questa data.



Se ti serve verificare la situazione su un intervallo più ampio (ad es. ieri, gli ultimi 3 giorni) o identificare le bufale con meno mungiture rispetto alla media abituale, fammi sapere e provvedo a estrarre i dati corrispondenti.";25139;1;False;162DB792D68C834ADE;[14:12, 31/08/2026] Marica Marches: ;2026-08-31T14:12:16;2026-08-31T14:12:48;True;OK;PASS;PASS;PASS;N/A;herd_query;;none_found;;PASS;PASS;
AUTO_20260831_140744;smoke;6;1;SEL_MUNG_006_V0_A1;SEL_MUNG_006_V0;SEL_MUNG_006;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_006;0;canonical;manual_selected;False;False;;MUNG_010;exact;chi ha la conducibilità alta?;conductivity_list;herd;;ID, nr lattazione, DIM, gruppo, ultima conducibilità, media conducibilità gruppo, incremento conducibilità baseline;ecco gli animali con elevati valori di conducibilità:;Animale | DIM | Gruppo | Ultima mungitura | Conducibilità | Baseline/flag | Latte ultima | SCC score | Delta latte;Manca conducibilità aggiornata o baseline/flag aziendale.;"Non formulare diagnosi certa e non prescrivere terapie; usare 'segnale compatibile/da verificare'. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;canonical;"#2474 (L7, DIM 275): 17,3 — sopra media 13,5 (+3,8)
#5127 (L5, DIM 423): 15,1 — sopra media 13,5 (+1,6)
#8102 (L1, DIM 104): 13,7 — sopra media 13,5 (+0,2)


Le tre bufale riportano una conducibilità superiore alla media della mandria (13,5). Un valore elevato è spesso associato a infiammazione della mammella (mastite subclinica) e, nei casi più alti, è accompagnato da una produzione giornaliera molto ridotta (es. #2474 con 0,4 kg).



Azioni consigliate: monitorare questi animali per i prossimi 2‑3 giorni, separarli dalla mandria per limitare eventuali contagii, prelevare campioni di latte per coltura e contattare il veterinario per una valutazione più approfondita.



Se vuoi approfondire con un report dettagliato sull’andamento negli ultimi giorni o su possibili terapie, fammi sapere.";62334;1;False;BC9ECFD8E7D20FF82A;[14:13, 31/08/2026] Marica Marches: ;2026-08-31T14:12:53;2026-08-31T14:14:03;True;OK;PASS;PASS;PASS;N/A;herd_query;2474,5127,8102;results;;PASS;PASS;
AUTO_20260831_140744;smoke;7;1;SEL_MUNG_007_V0_A1;SEL_MUNG_007_V0;SEL_MUNG_007;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_007;0;canonical;manual_selected;False;False;;MUNG_012;adapted;quali primipare vanno poco al robot;primiparous_low_robot;herd;;ID, DIM, gruppo, nr visite ultime 24h, tempo dall'ultima visita, tempo di intervallo atteso;Ecco la lista completa delle primipare con poche visite volontarie:;Animale | DIM | Parità | Gruppo | Mungiture 24h | Visite robot | Ultima mungitura | Latte 24h;Manca DIM o dati robot.;Non parlare di chetosi/patologia senza segnali metabolici/produttivi aggiuntivi.;Supportato se dati robot presenti;canonical;"#3164 (L1, DIM 266): 1,00 — media 1,58 (-0,58)
#3137 (L1, DIM 296): 1,00 — media 1,58 (-0,58)
#3121 (L1, DIM 290): 1,00 — media 1,58 (-0,58)
#8085 (L1, DIM 277): 1,00 — media 1,58 (-0,58)
#3124 (L1, DIM 266): 1,00 — media 1,58 (-0,58)
#8316 (L1, DIM 9): 1,00 — media 1,58 (-0,58)


Le primipare mostrano poche visite al robot perché stanno ancora imparando a riconoscere il box, possono avere fastidi mammari (mastite subclinica, irritazione), problemi di salute generali (zoppia, febbre, chetosi) o sono impegnate al pascolo/alimentazione. Stress ambientale (THI elevato) riduce ulteriormente la motivazione.



Cosa fare:

Controllare la mammella: prelevare campioni latte, verificare conduttività.
Osservare il comportamento: cercare segni di dolore, zoppia o febbre.
Verificare il funzionamento del robot (RFID, pulizia, percorso libero).
Garantire una dieta energetica adeguata alle primipare in lattazione.
Monitorare THI e, se alto, usare ventilazione o nebulizzatori.
Tenere sotto osservazione le sei bufale per i prossimi 3‑5 giorni; se le visite rimangono < 1,2, programmare visita veterinaria.


Se vuoi approfondire un capo in particolare, dimmi il numero.";108055;1;False;62784DF79D437D61D2;[14:15, 31/08/2026] Marica Marches: ;2026-08-31T14:14:08;2026-08-31T14:16:05;True;OK;PASS;PASS;PASS;N/A;herd_query;3121,3124,3137,3164,8085,8316;results;UNREQUESTED_CAUSAL_EXPANSION_REVIEW;PASS;REVIEW;
AUTO_20260831_140744;smoke;8;1;SEL_MUNG_008_V0_A1;SEL_MUNG_008_V0;SEL_MUNG_008;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_008;0;canonical;manual_selected;False;False;;PROD_001;exact_cross_area;chi ha calato il latte oggi?;production_drop_list;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione, delta produzione;Gli animali con il maggiore calo individuale sono i seguenti:;Animale | DIM | Parità | Gruppo | Latte attuale | Baseline/media | Delta kg | Delta % | Segnali associati;Manca produzione aggiornata o baseline/media recente.;Non indicare causa certa del calo se non ci sono segnali concordanti.;Supportato se produzione e baseline presenti;canonical;"Nessuna bufala ha mostrato, nei dati del 31‑08‑2026, un calo della produzione (nessun record con residual < 0 kg o residual_rel < ‑0,10).

Stress termico: temperature/umidità alte aumentano la temperatura corporea e la frequenza respiratoria, riducono l’assunzione di cibo e la resa di latte.
Mastite (clinica o subclinica): l’infiammazione mammaria diminuisce rapidamente la produzione; il primo segnale è spesso l’aumento della conducibilità o delle cellule somatiche.
Cheto‑acidosi (ketosi): soprattutto nelle primipare in fase precoce di lattazione, la carenza di glucosio abbassa la produzione.
Dolore (zoppia, problemi scheletrici): il capo visita meno il robot e munge meno latte.
Problemi nutrizionali o cambi dietetici improvvisi: deficit energetico o variazioni dell’alimentazione possono provocare una diminuzione.


Cosa fare subito

Verifica che tutti i sensori di mungitura siano online e che non vi siano periodi di mancata registrazione.
Controlla il THI odierno; se è elevato, attiva o intensifica i sistemi di raffreddamento (sprinkler, ventilatori) […]";61787;1;False;882B0429092577EFF0;[14:17, 31/08/2026] Marica Marches: ;2026-08-31T14:16:10;2026-08-31T14:17:20;True;OK;PASS;PASS;PASS;N/A;herd_query;;no_data;;PASS;PASS;
AUTO_20260831_140744;smoke;9;1;SEL_MUNG_009_V0_A1;SEL_MUNG_009_V0;SEL_MUNG_009;MUNGITURA;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_009;0;canonical;manual_selected;False;False;;PROD_002;exact_cross_area;quali sono le vacche/bufale con un calo superiore a 5 kg?;production_drop_threshold;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione;"Animali con calo superiore a {X} kg:
{tabella}
La tabella è ordinata per scostamento produttivo, non per priorità.";Animale | DIM | Gruppo | Latte attuale | Baseline | Calo kg | Calo % | Note;Manca produzione, baseline o soglia interpretabile.;"Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se produzione e baseline presenti;canonical;"Tutte le 162 bufale della mandria presentano un calo giornaliero superiore a 5 kg (residuo ≤ ‑5 kg). Di seguito i casi più critici, ordinati per perdita più alta:

#2468 (L3, DIM 55): 2,6 kg — attesi 15,76 kg (‑13,16 kg)
#8058 (L2, DIM 60): 3,9 kg — attesi 14,86 kg (‑10,96 kg)
#2516 (L2, DIM 17): 1,8 kg — attesi 12,32 kg (‑10,52 kg)
#2500 (L3, DIM 52): 5,9 kg — attesi 15,83 kg (‑9,93 kg)
#444 (L3, DIM 27): 5,2 kg — attesi 14,73 kg (‑9,53 kg)
#1320 (L14, DIM 86): 3,0 kg — attesi 12,47 kg (‑9,47 kg)
#418 (L3, DIM 76): 5,6 kg — attesi 14,70 kg (‑9,10 kg)
#3145 (L2, DIM 64): 5,7 kg — attesi 14,69 kg (‑8,99 kg)
#2448 (L3, DIM 44): 6,9 kg — attesi 15,88 kg (‑8,98 kg)
#2971 (L2, DIM 40): 6,2 kg — attesi 15,15 kg (‑8,95 kg)


(Le restanti 152 bufale hanno residui compresi tra ‑5,0 kg e ‑8,0 kg, quindi anch’esse con perdita > 5 kg.)



Le cause più frequenti di cali così marcati includono mastite (subclinica o clinica), chetosi, lamenza e stress termico. Consiglio di:

Controllare la conducibilità e le SCC del latte per le bufale sopra elencate.
Prelevare campioni di latte per coltura batterica e, se possibile, esami metabolomici (valina, lactato, BHBA) […]";120209;1;False;E722CC41BE5AB83852;[14:19, 31/08/2026] Marica Marches: ;2026-08-31T14:17:25;2026-08-31T14:19:33;True;OK;PASS;PASS;PASS;N/A;herd_query;418,444,1320,2448,2468,2500,2516,2971,3145,8058;results;UNREQUESTED_CAUSAL_EXPANSION_REVIEW;PASS;REVIEW;
AUTO_20260831_140744;smoke;10;1;SEL_PROD_001_V0_A1;SEL_PROD_001_V0;SEL_PROD_001;PRODUZIONE;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_001;0;canonical;manual_selected;False;False;;PROD_006;exact;chi produce meno?;low_production_list;herd;;ID, gruppo,DIM, ultima produzione, media gruppo, delta produzione;"Animali sotto la media del proprio gruppo:
{tabella}
Questo confronto è più utile se il gruppo è omogeneo per DIM/parità.";Animale | DIM | Parità | Gruppo | Latte attuale | Media gruppo | Delta vs gruppo | Delta vs se stessa;Manca gruppo o media gruppo calcolabile.;Non giudicare animale senza considerare DIM/parità quando disponibili.;Supportato se produzione e baseline presenti;canonical;"#6946 (L3, DIM 241): 0,2 kg — attesi 6,10 kg (-5,90 kg, -96,7 %)


Questa è l’unica bufala con dati disponibili, quindi è quella che produce meno nella mandria. Il residuo negativo quasi totale indica una perdita produttiva molto marcata.



Azioni consigliate: controlla la mammella per mastite (preleva campioni latte e verifica SCC), valuta parametri metabolici (BHBA, glucosio) per escludere chetosi, verifica indice THI e attiva sistemi di raffreddamento se necessario, assicurati di una dieta energeticamente adeguata e controlla eventuali problemi di postura o dolore. Se vuoi approfondisco le possibili cause specifiche.";90178;1;False;CCD63032218475BF43;[14:20, 31/08/2026] Marica Marches: ;2026-08-31T14:19:46;2026-08-31T14:21:24;True;OK;PASS;PASS;PASS;N/A;herd_query;6946;results;UNREQUESTED_CAUSAL_EXPANSION_REVIEW;PASS;REVIEW;
