test_id;case_id;area;area_order;case_order;execution_order;suite_type;scenario;scenario_turn;block;variant_index;variant_type;variant_source;previously_executed;prior_validated;prior_result;source_case_id;source_mapping;question;evaluation_profile;expected_scope;expected_animal;input_data;expected_behavior;expected_fields;fallback;guardrail;support_current;manual_current_response;manual_comment;probe_type
SEL_MUNG_001_V0;SEL_MUNG_001;MUNGITURA;1;1;1;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;0;canonical;manual_selected;False;False;;MUNG_007;adapted;quante vacche/bufale hanno prodotto poco?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori: ";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Dati: 27 agosto 2026 – 40 vacche hanno registrato una produzione inferiore al ‑20 % della curva attesa.

Spiegazione: il conteggio (cnt = 40) proviene dal report del giorno più recente (max_date = 2026‑08‑27). L’allevamento non include bufale, quindi il totale riguarda solo vacche.

Azioni consigliate: verifica rapidamente le prime 10 vacche con più scostamento, controlla conducibilità e SCS, preleva campioni di latte e avvia eventuali cure preventive.

Se vuoi approfondisco singole vacche.";;canonical
SEL_MUNG_002_V0;SEL_MUNG_002;MUNGITURA;1;2;2;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_002;0;canonical;manual_selected;False;False;;MUNG_003;adapted;quali vacche/bufale hanno saltato la mungitura?;missed_or_reduced_milkings;herd;;ID, DIM, media milk sessions gruppo, numero sessioni di mungitura;Gli animali con un numero minore di sessioni registrate sono i seguenti:  . (se robot: controlla il loro stato di salute o il funzionamento del robot);Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Nessuna vacca ha registrato milking_visits_count = 0 negli ultimi 7 giorni (la query ha restituito 0 righe). Nella stalla non sono presenti bufale, quindi il conteggio è 0 vacche e 0 bufale.

Se vuoi approfondire un periodo più lungo o verificare eventuali decrementi nelle sessioni di mungitura, fammi sapere.";;canonical
SEL_MUNG_003_V0;SEL_MUNG_003;MUNGITURA;1;3;3;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;0;canonical;manual_selected;False;False;;MUNG_001;exact;quali animali sono in ritardo?;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;canonical
SEL_MUNG_004_V0;SEL_MUNG_004;MUNGITURA;1;4;4;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_004;0;canonical;manual_selected;False;False;;MUNG_003;exact;quali vacche/bufale hanno meno mungiture?;low_milking_count;herd;;ID, gruppo, DIM, numero sessioni ultime 24h, media baseline mungiture;"Ho trovato {n_animali} animali con meno mungiture rispetto al loro andamento recente.
{tabella}
Verifica accesso a robot/sala, locomozione, comportamento e rifiuti robot.";Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;canonical
SEL_MUNG_005_V0;SEL_MUNG_005;MUNGITURA;1;5;5;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_005;0;canonical;manual_selected;False;False;;MUNG_002;exact;chi non è stata munta oggi?;not_milked_today;herd;;ID, gruppo, DIM, visite robot ultime 24h, nr sessioni mungitura valide, n mungiture baseline;Ecco gli animali che non hanno registrato una mungitura completa:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore trascorse | Mungiture oggi | Visite robot oggi;Manca il conteggio mungiture giornaliero o il timestamp dei dati robot.;"Usare 'non risulta registrata' se c'è rischio dato non aggiornato. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;canonical
SEL_MUNG_006_V0;SEL_MUNG_006;MUNGITURA;1;6;6;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_006;0;canonical;manual_selected;False;False;;MUNG_010;exact;chi ha la conducibilità alta?;conductivity_list;herd;;ID, nr lattazione, DIM, gruppo, ultima conducibilità, media conducibilità gruppo, incremento conducibilità baseline;ecco gli animali con elevati valori di conducibilità:;Animale | DIM | Gruppo | Ultima mungitura | Conducibilità | Baseline/flag | Latte ultima | SCC score | Delta latte;Manca conducibilità aggiornata o baseline/flag aziendale.;"Non formulare diagnosi certa e non prescrivere terapie; usare 'segnale compatibile/da verificare'. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;canonical
SEL_MUNG_007_V0;SEL_MUNG_007;MUNGITURA;1;7;7;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_007;0;canonical;manual_selected;False;False;;MUNG_012;adapted;quali primipare vanno poco al robot;primiparous_low_robot;herd;;ID, DIM, gruppo, nr visite ultime 24h, tempo dall'ultima visita, tempo di intervallo atteso;Ecco la lista completa delle primipare con poche visite volontarie:;Animale | DIM | Parità | Gruppo | Mungiture 24h | Visite robot | Ultima mungitura | Latte 24h;Manca DIM o dati robot.;Non parlare di chetosi/patologia senza segnali metabolici/produttivi aggiuntivi.;Supportato se dati robot presenti;;;canonical
SEL_MUNG_008_V0;SEL_MUNG_008;MUNGITURA;1;8;8;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_008;0;canonical;manual_selected;False;False;;PROD_001;exact_cross_area;chi ha calato il latte oggi?;production_drop_list;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione, delta produzione;Gli animali con il maggiore calo individuale sono i seguenti:;Animale | DIM | Parità | Gruppo | Latte attuale | Baseline/media | Delta kg | Delta % | Segnali associati;Manca produzione aggiornata o baseline/media recente.;Non indicare causa certa del calo se non ci sono segnali concordanti.;Supportato se produzione e baseline presenti;;;canonical
SEL_MUNG_009_V0;SEL_MUNG_009;MUNGITURA;1;9;9;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_009;0;canonical;manual_selected;False;False;;PROD_002;exact_cross_area;quali sono le vacche/bufale con un calo superiore a 5 kg?;production_drop_threshold;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione;"Animali con calo superiore a {X} kg:
{tabella}
La tabella è ordinata per scostamento produttivo, non per priorità.";Animale | DIM | Gruppo | Latte attuale | Baseline | Calo kg | Calo % | Note;Manca produzione, baseline o soglia interpretabile.;"Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se produzione e baseline presenti;;;canonical
SEL_MUNG_001_V1;SEL_MUNG_001;MUNGITURA;1;1;10;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;1;paraphrase;manual_alt;False;False;;MUNG_007;adapted;mi dai la lista di vacche che hanno prodotto poco?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori: ";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Dati: 27 agosto 2026 – 40 vacche hanno registrato una produzione inferiore al ‑20 % della curva attesa.

Spiegazione: il conteggio (cnt = 40) proviene dal report del giorno più recente (max_date = 2026‑08‑27). L’allevamento non include bufale, quindi il totale riguarda solo vacche.

Azioni consigliate: verifica rapidamente le prime 10 vacche con più scostamento, controlla conducibilità e SCS, preleva campioni di latte e avvia eventuali cure preventive.

Se vuoi approfondisco singole vacche.";;paraphrase_probe
